后端开发工程师,后端开发,25-50K,今日头条,上海 徐汇区 漕河泾,3-5年,本科,职位描述:1、字节跳动新产品(直播/实时通信)的后台业务研发2、全球化多IDC、边缘网络的架构服务 3、分布式流量调度平台、稳定性保障平台、统一配置中心、实时消息中间件等核心系统的研发 4、流媒体核心业务的架构、设计和优化，跟踪国外相关领域的最新成果，构建国际领先的视频云平台职位要求:1、至少熟练使用一门编程语言(C/C++/Java/Python/Go/PHP 等) 2、扎实的技术基础，熟悉性能、可用性、伸缩性、扩展性、安全性、运维监控、集成发布等 3、熟悉TCP/IP网络，掌握关系数据库及 NoSQL 相关知识，了解基本优化原理 4、了解zipkin等链路跟踪工具，常用RPC框架如Springcloud、dubbo、motan等，常用消息中间件如Kafka、NSQ 、RabbitMQ的优先5、有异地多活、跨国服务开发经验的优先
JAVA后端开发,后端开发,18-36K,携程旅行网,上海 长宁区 北新泾,1-3年,本科,"岗位职责：1、 负责大数据平台和数据产品的设计和开发相关工作；2、 核心模块代码编写及系统重构；3、 负责攻克技术难关，辅导团队成员的技术能力提升；4、 负责分析需求，给出技术解决建议.岗位要求：1、 本科及以上学历，计算机相关专业；2、 有扎实的Java基础(熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制）；3、 熟练使用Kafka、ZooKeeper、Hadoop、Spark、Storm、Flink、Hive、HBase、Presto、Flume、Sqoop,Elasticsearch 等技术中的一种或数种；4、 有良好的代码书写、注释和单元测试习惯；5、 具有较强逻辑思维能力，学习能力，优秀的沟通协调能力,独立承担较大工作压力；6、 熟悉主流数据库（Oracle、DB2、Mysql、Sql Server）中的2种及以上，精通SQL、存储过程等；7、 熟悉linux环境，熟练使用shell；8、 有数据仓库及数据产品开发经验者优先, 有开源项目经验者优先；9、 对技术和工作充满热情，具备良好的沟通能力，较强的责任心及团队合作精神."
后端开发工程师,后端开发,25-50K,今日头条,上海 徐汇区 漕河泾,经验不限,本科,职位描述：1、字节跳动新产品(直播/实时通信)的后台业务研发及优化；2、垂直行业音视频整体解决方案研发及优化；3、音视频质量及监控系统搭建及优化。职位要求：1、本科学历及以上。有一二线互联网大厂工作经验者优先考虑；2、至少熟练掌握一门编程语言(C/C++/Java/Python/Go/PHP 等) ；3、熟悉TCP/IP网络，掌握关系数据库及NoSQL相关知识，了解基本优化原理；4、熟悉常用的消息中间件如kafka、redis、zookeeper；5、加分项：熟悉性能、可用性、伸缩性、扩展性、安全性、运维监控、集成发布等；6、加分项：对分布式系统有深入理解，有丰富的高并发和多线程实践经验者；7、加分项：在线教育、视频会议、社交娱乐等垂直行业有丰富开发经验者。
java后端开发,后端开发,15-25K,泛微网络,上海 闵行区 浦江,3-5年,本科,"上市公司，自研软件，非外包，不外派驻场。岗位职责：1、负责公司产品的功能规划、需求分析设计、技术实现和用户体验；2、负责所属模块的代码开发、调试与维护工作；3、积极响应客户需求并进行开发/定制化开发和交付；4、参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；5、协助并完成其他各类技术开发任务。任职资格：1、计算机或者相关专业，统招全日制本科及以上学历；2、良好的问题理解能力，能够理解以及处理复杂逻辑；3、具备较强的自学能力，团队精神及抗压能力；4、3年以上的Java开发及应用经验，掌握JSDK，J2EE的相关知识，精通JAVA、JSP、SERVERLET编程，熟悉多线程编程，熟练掌握AJAX，jquery；5 、熟练掌握JAVASCRIPT脚本编写，了解XML，XSLT, CSS的相关知识；6 、掌握数据库的相关知识，熟悉SQLSERVER及ORACLE，具备SQL、触发器、函数、存储过程的编写能力；7、具有一定的文档编写能力，了解UML；8、熟悉基本网络设置，能够应用多种操作系统，WINDOWS，LINUX等，熟悉RESIN，TOMCAT等中间件的使用。"
后端开发工程师,后端开发,30-45K·15薪,英语流利说,上海 杨浦区 周家嘴路,3-5年,本科,"职位描述1、为全球领先教育AI 产品建设高性能、稳定可靠、灵活可扩展的后台体系2、与产品经理、教研、算法、运营等多团队密切配合，是产品的设计者也是实现者职位要求1、技术扎实，有深有广，喜欢追根溯源2、3年以上核心后台系统开发经验，对微服务、系统性能调优、数据库、MQ等有实践和见解3、大多数编程语言对你不是门槛，也请接受我们将Golang \ Ruby 作为主要工作语言，以及对单元测试的执念4、逻辑思维强大，秉承独立思考，做实事，对不合理要求敢于说“不”5、心怀好奇，乐于分享，GopherConf, RubyConf, QCon 等技术大会的门票和路费不用你担心6、大流量、高性能、复杂架构系统核心贡献者优先7、开源社区贡献者优先，期待看到你的贡献，也欢迎给我们加星 https://github.com/lingochamp"
java后端开发（非996）,后端开发,18-35K,泛微网络,上海 闵行区 浦江,3-5年,本科,"上市公司，自研产品，非外包，不外派驻场，拒绝996，周末双休！岗位职责：1、负责公司产品的功能规划、需求分析设计、技术实现和用户体验；2、负责所属模块的代码开发、调试与维护工作；3、积极响应客户需求并进行开发/定制化开发和交付；4、参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；5、协助并完成其他各类技术开发任务。任职资格：1、计算机或者相关专业，统招全日制本科及以上学历；2、良好的问题理解能力，能够理解以及处理复杂逻辑；3、具备较强的自学能力，沟通能力，团队精神；4、3年以上的Java开发及应用经验，掌握JSDK，J2EE的相关知识，精通JAVA、JSP、SERVERLET编程，熟悉多线程编程，熟练掌握AJAX，jquery；5 、熟练掌握JAVASCRIPT脚本编写，了解XML，XSLT, CSS的相关知识；6 、掌握数据库的相关知识，熟悉SQLSERVER及ORACLE，具备SQL、触发器、函数、存储过程的编写能力；7、具有一定的文档编写能力，了解UML；8、熟悉基本网络设置，能够应用多种操作系统，WINDOWS，LINUX等，熟悉RESIN，TOMCAT等中间件的使用。"
Java后端开发工程师,后端开发,20-40K·15薪,依图,上海 长宁区 古北,1年以内,本科,职位描述-       负责依图智能安防产品相关的需求分析和研发工作 ;-       负责按照软件开发流程，根据产品和项目计划，按时完成所负责模块的设计文档编写、架构设计、编码、测试的全流程工作;-       负责持续优化系统架构，提高系统在多种部署环境下的容灾容错能力，保证系统的可运维、高可用性、高可靠性;-       参与关键技术点攻坚工作，团队内的技术推广。-       辅导新人养成良好的软件工程知识和编码规范意识。 技能要求-       计算机及相关专业本科及以上学历，5年及以上工作经验;-       具备全面的软件知识结构，基础扎实，精通常用数据结构与算法;-       熟练掌握Java语言，熟练掌握 Spring Boot、Spring cloud 框架;-       熟悉 Linux 等操作系统，了解 Shell 脚本;-       熟悉常见分布式系统，例如分布式消息队列如Kafka、分布式文件系统如HDFS等系统架构，并能合理应 用分布式技术，解决问题;-       熟悉数据库体系结构，熟悉常见的索引、存储架构和技术，有常见关系型数据库如MySQL和非关系型数据库如MongoDB的实战经验;-       具有钻研精神，学习能力强，高度的责任心、良好的沟通技巧和团队合作精神，正直进 取，有上进心，热爱开发事业。
后端开发工程师,后端开发,15-25K,哔哩哔哩,上海 杨浦区 五角场,3-5年,本科,工作职责：1、负责新业务服务端相关业务的特性开发和维护；2、负责产品特性的讨论，评估项目的可行性，负责项目从原型到开发，测试，发布。3、负责服务端技术优化，包括但不限于：业务流程、性能、安全等；4、通过工具与组件的开发与持续优化，提升团队工作效率。工作要求：1、本科以上学历，计算机软件或相关专业；2、软件知识结构全面，基础扎实，精通常用数据结构与算法；3、熟悉linux、UNIX等操作系统，了解Shell，能熟练使用Unix类系统下的Go、PHP或C、C++进行编程；4、熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据访问架构设计，熟悉面向对象的开发方法，有网络系统的开发经验；5、精通Go语言、熟悉HTML/JS等前端技术、具有互联网Web业务开发经验、有大型系统开发经验优先；6、高度的责任心、良好的沟通技巧和团队合作精神，正直进取。
NodeJS后端开发,后端开发,24-30K,PACTERA,上海 浦东新区 金桥,3-5年,本科,岗位职责：1.	负责企业内部系统的开发，测试。2.	负责部分运维、发布工作。3.	参与系统需求分析和系统设计。任职要求：1.	熟练使用Mysql，Postgresql等关系型数据库以及Redis、memcache等key-value数据库。2.	熟悉Node/V8的编程特性以及调试方法，使用NodeJS参入后端业务开发 。3.	熟悉Centos操作系统，熟悉Linux命令，熟悉版本管理及发布管理，能参与系统运维、发布工作。4.	掌握Spring Boot等Java开发框架，可参与Java项目的开发维护。5.	有一定的数据库以及接口设计能力。6.	本科及以上学历；
（高级）后端开发工程师,后端开发,20-40K,Booking缤客,上海 静安区 静安寺,5-10年,本科,"We are looking for Software Developers who are passionate about their craft, who thrive on challenge and who believe in success through collaboration – people who would complement our existing developers!  You will be part of our newly formed China Product Development team in Shanghai.Join us and support Booking.com BV’s #1 accommodation website with some of the industry’s smartest people! B.responsibleOur technical culture derives strongly from our strong ties to the Perl community. We appreciate what open source means both for our business and also for internal projects. Some of our most useful hacks inside the company have come from someone scratching the proverbial itch.Even if you do not have Perl experience, your colleagues will help you get up to speed in order to be able to start solving real problems from day one. You will work independently and will also be responsible for making technical decisions within a team. Our development strategy is agile and we work in small Scrum teams of 5-7. We do several rollouts every day, are data-driven and do extensive A/B testing.As a Software Developer, you are responsible for the development, performance, and scaling of our public website as well as internal systems, which includes using: Perl (5.14), DBI, Mason, Moose, Sereal, Plack, nginx, Javascript, MySQL, Memcached, Redis, Hadoop, Elasticsearch, git, and CentOS Linux.Important aspects of the job include:Rapidly develop next-generation scalable, flexible, and high-performance systems.Solve issues with the site and internal systems, prioritizing based on consumer impact and Booking.com B.V.’s global strategyAct as an intermediary for problems, with both technical and non-technical audiencesCollaborate with the team, Team Leaders and Product Owners B.skilledSometimes, solving our toughest problems has little to do with the software we have written, and more to do with the complex interaction of multiple systems. Understanding the full stack, from bits going across the wire to the various protocols that define communication all the way up to the application layer is vitally important. Most of us know multiple languages and have worked on multiple platforms. We need self-starters who are great at solving problems, who initiate solutions and discussions and who believe that any challenge can be scaled with the right mindset and tools.We have found that people who match the following requirements are the ones who fit us best:4 years of hardcore development experience with more than one programming languageExperience of developing in and contributing to open sourceExperience with HTTP and server-side technologies (web servers, database servers)Ability to work independently in small teamsPreferably a university degree in Mathematics or Software Engineering Comfortable working in English both written and spoken"
