移动开发,移动开发,15-30K,上海交通大学,上海 闵行区 老闵行,1-3年,本科,"上海交通大学高薪诚聘前端、后端、移动端开发人员。学校环境优美、工作舒适、待遇优厚、发展良好。欢迎踊跃报名。招聘条件：1、大学本科及以上学历,学士及以上学位。2、有移动前端开发经验。 4、较强的学习能力和解决问题的能力。 5、具有良好的沟通能力和团队协作精神。岗位职责：1、参与学校信息系统项目建设，承担开发人员角色。 2、充分理解系统需求，在此基础上完成界面设计、实现。 3、完成中心交办的其它工作。"

移动开发主管,移动开发,15-20K,旺旺集团,上海 闵行区 虹桥,5-10年,本科,岗位职责：1、负责部门团队建设，管理规范制定、优化和推进；2、管理项目计划、进度、质量；协调资源，确保项目执行和控制；3、带领和指导团队成员解决技术难题和新技术的学习；4、帮助团队成员实现个人目标，同时对成员进行绩效考核。任职要求：1、计算机或相关专业本科以上学历，5年以上软件开发经验，3年以上项目管理／团队管理经验；2、熟悉软件工程，具备优秀的系统分析能力、需求把握、逻辑分析和表达能力；3、至少精通以下一项技术：Vue／React／AngularJS；4、有电商平台开发经验者优先考虑，有高并发系统开发经验者优先考虑。

移动开发,移动开发,15-30K,上海交通大学,上海 闵行区 老闵行,3-5年,本科,"上海交通大学高薪诚聘前端、后端、移动端开发人员。学校环境优美、工作舒适、待遇优厚、发展良好。欢迎踊跃报名。招聘条件：1、大学本科及以上学历,学士及以上学位。2、有移动前端开发经验。 4、较强的学习能力和解决问题的能力。 5、具有良好的沟通能力和团队协作精神。岗位职责：1、参与学校信息系统项目建设，承担开发人员角色。 2、充分理解系统需求，在此基础上完成界面设计、实现。 3、完成中心交办的其它工作。"

前端移动与开发讲师,移动开发,30-60K,传智播客,上海 浦东新区 航头,3-5年,大专,岗位职责：        1、按照教学规范和教学大纲高质量完成前端课程的授课任务；        2、带领学员参加实训并指导学员完成实操项目；        3、根据学生及市场需要，高质量完成公开课、讲座、网络直播课等授课任务；        4、完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作；        5、负责所属教学方向的工作计划和课程优化、改进教学方法，完善教学体系；        6、完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；        7、完成学科整体安排的其他与教学相关的工作；        8、参与学术交流与研讨，不断提升业务水平任职资格。任职资格：        1、表达能力强，声音清晰自然，个性开朗，乐于与人交流；        2、热爱教育行业，年龄25-30周岁，至少三年以上前端中大型项目开发经验；        3、精通HTML5、Node.js、Vue.js、React.js、Angular等前端技术中的一项或多项；        4、至少了解一种以上的服务端开发技术，有服务端开发经验者优先；        5、有自己的学习能力及自我提高方式或渠道，热衷高新技术的钻研；        6、有技术文档编写经验者优先考虑，比如产品方案、需求文档、设计文档等；        7、有1年以上教学经验者优先考虑。

移动端(Andorid/IOS)开发,移动开发,8-13K,密尔克卫化工供应...,上海 浦东新区 金桥,3-5年,本科,工作职责：1、负责Andorid/IOS平台下App应用开发、上线及日常维护；2、负责产品架构设计、改进及性能优化；3、规范编写相关开发文档和技术资料；4、负责新技术的学习、研究和应用；5、配合市场、运营等其他部门，提供相关技术支持。任职资格：1、计算机或相关专业本科及以上学历，三年及以上开发经验；2、Andorid移动端：具备良好的Java技术功底，熟悉操作系统基本原理，数据基本数据结构，有一定的算法能力；熟悉Android开发技术，熟悉Android开发工具和相关测试调优工具；3. IOS移动端：精通C/Objective-c/Swift语言；熟悉Mac OS X，熟悉Cocoa、XCode、IOS SDK开发环境；4、具有良好的网络通信，多线程编程经验，对高性能程序设计、架构有经验者优先；5、熟悉Git，SVN等代码管理工具；6、参与开发至少一个中大型软件项目，有完整电商项目开发优先，有支付类产品开发优先；7、思维敏捷，有很强的逻辑分析能力，良好的沟通能力，责任心和团队合作精神。

