,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Python,C,Tensorflow,Java,Linux,Spark,Hadoop
10,人工智能工程师,人工智能,30000.0,浙江浙大网新中研软件有限公司,杭州,3.0,本科,、本科以上学历，计算机或数学相关专业；2、具有2年以上NLP、机器学习/深度学习相关工作经验；3、熟练使用至少一种开发语言，如Java、python等5、精通自然语言处理相关领域的知识与技能，有扎实的算法基础；6、熟练使用TenserFlow、PyTorch、Keras等其中一种或多种深度学习框架；7、算法能力、工程能力强，有丰富算法工程实践经验，能够根据业务场景设计解决方案，熟悉各种算法在工程上的***实现方式；8、有文本分类、舆情情感分析、知识图谱等自然语言处理经验优先。 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0
11,销售经理（人工智能行业）,人工智能,7500.0,杭州仁盈科技股份有限公司,杭州,1.0,大专,【工作职责】1、主动发掘客户需求，灵活提供专业服务，执行并完成公司销售计划；2、负责开拓新的客户资源及维护老客户，与目标客户建立并维持良好的关系，及时把握客户需求；3、全面掌握产品知识及流程，满足客户对服务品质的要求；4、详细记录销售过程，便于后期管理人员了分析项目的运营动态及状况 ；5、关注行业动态，并及时向上级反馈在工作中的问题、提供解决建议；【职位要求】1、具有1年以上企业客户智能产品销售经验，教育、运营商、互联网行业背景优先；2、具备良好的沟通能力，思维敏捷，学习能力佳；3、大专以上学历，计算机、通信相关专业优先；4、具有责任感，踏实肯干，较强的抗压力，团队合作意识强；5、底薪5000+高提成+绩效，年收入不封顶。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,贷款+人工智能,人工智能,12500.0,苏州苏众达商务信息咨询有限公司,苏州,0.0,无,"【职位描述】公司提供精准的客户资源，我们负责初步审核、维护客户关系并邀约至公司面谈；客户关系：为客户提供优质的贷前、贷中及贷后服务；公司每一个人配十台机器人，个人不需要管理机器人只负责联系意向客户；【岗位要求】1、性别不限，年龄在18-32周岁；2、大专及以上学历，优秀者可放宽至高中学历；金融，经济，财务，市场营销等专业的优先考虑（应届毕业生亦可）；3、勤奋、有强烈的进取心，较强的学习能力和优秀的沟通能力；4、有敏锐的市场洞察力,有强烈的事业心、责任心和积极的工作态度；5、较强的团队荣誉感，性格坚韧,思维敏捷,具备良好的应变能力和承压能力，具有挑战高薪的决心，有强烈的挣钱欲望；6、从事过一定贷款、银行、信用卡、房地产等相关金融销售行业，或其他销售行业的优先考虑；7、按时完成上级下达的任务，规划好自己每一天的任务，强执行力！【职业发展】1、我们管理透明，公平公正的晋升和深造机会与业绩挂钩，培训人才成为未来的管理干部和金融行业理财规划师。健全良好的职位晋升通道，广阔的职业发展平台，入职1个月就有晋升机会，年轻人的好选择。绩优专业路线：客户经理—高级客户经理—金牌客户经理—团队主任---分公司总经理公司的核心价值：感恩、担当、忠诚、责任、付出、有爱公 司 简 介；广深最具影响力的综合融资服务平台，累计已超过10万客户成功解决资金难题，公司期待你的加入公司招聘宣言 ：行动若在，市场就在，众达在不断创造一个又一个的奇迹，生活，你给我压力，我还你奇迹！聪明的人懂得选择行业，智慧的人懂得选择大平台抱团打天下.专业才能长久，团队才能壮大！众达给你创造平台.公司业务范畴 ：办理市面上各大银行信用贷款及房屋抵押贷款业务，通过专业系统培训为客户定制融资方案.公司地址：凤凰国际大厦1905室",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,人工智能研究员,人工智能,50000.0,广东星舆科技有限公司,广州,2.0,博士,负责深度学习等人工智能相关技术在机器视觉和高精度融合定位领域的前沿算法研究； 负责将相应的算法在公司具体工程领域的落地应用，指导具体应用领域的算法优化.任职资格： 博士学历，人工智能，图像处理，数学及应用数学等专业方向；具备优秀的研究能力，问题分析能力和解决问题的能力；勇于挑战自我，对解决具有挑战性的问题充满激情；较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Shell/Python/Matlab 编程。,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,实习生-人工智能投资研究,人工智能,1750.0,深圳同创鼎诚投资管理有限公司,深圳,0.0,硕士,						人工智能投资研究方向：1.国内外重点院校计算机技术等相关专业硕士及以上学历；2.了解人工智能相关领域的基本原理和行业动态，有相关的研究经历者优先；3.欢迎应届毕业生；4.欢迎海外留学回国的学生；5.欢迎其它行业转行从事投资的优秀人才；6.有意愿在投资行业发展；7.具有前瞻性思维，信息综合分析判断能力强；8.英语水平能够满足日常商务交流。工作地点可选：深圳 广州																		,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,人工智能工程师,人工智能,15000.0,莱博生物科技股份有限公司,济南,0.0,本科,、负责人工智能相关框架的搭建，提供机器学习的相关支持；2、负责图像处理、文字识别、自然语言处理算法的开发、实施和维护。 3、负责推动人工智能在医疗健康大数据方面的应用开发。岗位要求：1、本科以上专业，计算机、数学等相关专业；2、具有图像识别、人脸识别、语音识别、自动评测等相关深度学习项目或工作经验；3、熟悉常见的分析挖掘算法如决策树、SVM、聚类等，熟悉深度神经网络和常用机器学习模型，有利用机器学习、神经网络技术构建评价模型的经验；4、对常用的开源框架，如TensorFlow、Caffe、Theanot等有实践经验；5、熟悉OCR、NLP等相关领域技术； 6、具有良好的沟通能力、极强的学习能力和分析解决问题能力。,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,人工智能实习生,人工智能,1750.0,江西神猪智能网络有限公司,萍乡,0.0,大专,任职条件：1、高校大三、四学生，专业不限，（只招聘在校学生，不考虑毕业生）2、具有良好的学习能力和团队合作精神。3、熟悉互联网行业，对人工智能领域有初步了解。4、有能够志者从事AI人工智能方向。岗位职责：1、负责对人工智能大数据库的数据处理工作，如数据采集，数据标注，数据质检等。工作时间：2019年9月至2020年3月（六个月）表现优秀者可转正08：30-16：30（单休）实习薪资：1800元/月行业前景发展：AI人工智能是互联网发展的新型领域与必然趋势，在未来AI发展良好的前提下，数据的缺口一定是巨大的，目前我们日常生活中已经慢慢开始渗透和普及人工智能的成果。比如：无人驾驶、人脸识别，医疗微创等。神猪作为江西***家涉足AI人工智能数据标注领域的互联网公司，也是带你走向AI行业的敲门砖，未来可以转向AI其他岗位。晋升发展方向：人工智能实习生——人工智能训练师——运营组长———项目经理——项目总监,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,人工智能工程师,人工智能,9000.0,梵界信息技术（上海）股份有限公司西安分公司,西安,3.0,硕士,负责自然语言处理平台服务项目的设计和研发； 2. 负责自然语言处理基础模块的设计和研发，包括但不限于分词、词性标注、语法分析、句法分析、语义分析、情感分析、命名实体识别、各类基础词库和语料库等； 3. 负责自然语言处理应用模块及垂直领域产品研发，包括但不限于文本分类、信息抽取、主题模型、自动摘要、智能问答、语义理解、对话生成、话题推荐、知识图谱等； 4. 结合自然语言处理、机器学习、深度学习、统计建模、数据挖掘、文本挖掘等方法解决实际业务问题； 5. 负责调研最前沿的人工智能技术，追踪并实验最新自然语言处理前沿技术，参与搭建和实现相关模型； 6. 负责搭建相关的机器学习、大数据计算平台；任职资格：1. 硕士及以上学历，数学、统计、计算机、通信等相关专业； 2. 具有3年以上自然语言处理或相关岗位工作经验； 3. 熟悉自然语言处理垂直应用领域产品开发，包括但不限于文本分类、信息抽取、主题模型、自动摘要、智能问答、语义理解、对话生成、话题推荐、知识图谱等； 4. 精通常见机器学习/深度学习算法的设计和开发，包括但不限于CNN、RNN、LSTM、GRU、LDA、seq2seq、Attention等； 5. 熟练使用tensorflow、pytorch、keras、sklearn等机器学习/深度学习开发框架； 6. 参与过3个以上自然语言处理相关项目，具有深度学习项目研发经验； 7. 具有扎实的数据结构和算法理论基础，精通python/java语言、数据库编程、linux编程； 8. 能独立完成功能模块的设计、编码、测试，具有良好的代码规范； 9. 具有较强的沟通能力和阅读英文科技文献的能力；,1.0,0.0,1.0,1.0,1.0,0.0,0.0
18,细胞人工智能高级研究员,人工智能,27500.0,深圳迈瑞生物医疗电子股份有限公司,深圳,2.0,博士,负责细胞分析领域智能化技术研究。1.跟踪业界技术发展趋势，开展临床调研，主导/参与下一代细胞分析核心算法预研；2.主导/参与部分临床学术合作，包括实地调研、制定方案、数据分析、以文章等形式（联合）发布研究成果。任职要求：1.博士学历，人工智能相关专业；2.有针对专项课题进行系统性研究的经历；3.具备计算机视觉方向深度学习项目经验；4.精通主流深度学习模型，了解其使用场景、实现细节、训练方法、CPU/GPU优化，熟悉至少一种DeepLearning平台；5.具备较强承压能力，沟通良好，团队合作意识强；6.具备较强抽象思维能力、学习能力、创新能力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,人工智能开发工程师,人工智能,17500.0,北京元安物联技术有限公司,北京,3.0,本科,岗位职责：1. 负责物联网边缘AI网关相关研发工作；2. 针对特定业务场景训练模型，并持续调优；3. 边缘AI网关上通过模型进行推理；4. 边缘AI网关其它相关开发工作。任职要求：1. 统招本科以上学历，计算机或数学相关专业，2年以上开发经验；2. 具有扎实的计算机基本功，熟悉基本数据结构、算法；3. 精通C语言或C++语言，熟悉计算机体系结构，熟悉linux操作系统；4. 熟悉深度学习、神经网络基本概念，熟悉某种深度学习框架；（有实际项目经验者优先）；5. 有NVIDIA GPU开发经验，了解CUDA编程模型；（有实际项目经验者优先）； 6. 有接触过NVIDA深度学习技术栈者优先，如Jetson、TensorRT、DeepStream。,0.0,1.0,0.0,0.0,1.0,0.0,0.0
