,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Android,App,Web,Css,Java,Javascript,C,Js
10,中国移动开发区大学城体验店客服/营业员,移动开发,4250.0,天津市天昌电信有限责任公司,天津,0.0,无,职位描述岗位职责：1.中国移动营业厅内的业务受理、话费收取；2.移动业务的推广及销售；3.工作热情，积极主动。任职资格：1.35岁以下，男女不限；2.中专以上学历，有一定的电脑操作经验；3.欢迎有同行业工作经验的美女、帅哥；4.欢迎有志于携手世界500强投身祖国移动通讯事业的应届毕业生；工作时间：与营业厅营业时间一致公司提供有竞争力的薪酬，及专业培训工作地点：中国移动开发区大学城体验店（洞庭路、十三大街）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ios移动开发工程师,移动开发,17500.0,上海览逸信息科技有限公司,上海,1.0,本科, 职位要求:1、参与公司iOS客户端的产品的架构规划设计；2、负责基于iOS系统的应用程序开发测试；3、配合美术及策划人员能够优化iOS客户端的用户操作体验。任职要求：1.计算机及相关专业毕业，大学本科学历工作一年以上；2.熟悉C/Objective-C/Swift，IOS开发平台及框架原理；3.熟悉iOSSDK中的UI、网络、XML/JSON解析等开发技巧；4.熟悉IOS移动终端特性、开发特点，有良好的分析问题和解决问题的能力；5.有较强的学习能力及逻辑思维能力，良好的沟通能力和团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,移动开发经理（IOS方向）(J10618),移动开发,17500.0,天狮集团有限公司全球直销事业部,天津,0.0,无,工作职责:1、负责互联网软件应用的移动端核心模块的开发和维护；2、负责互联网软件应用的移动端可行性分析、重构和优化；3、负责移动端平台相关技术以及新技术的调研、实现；4、负责撰写开发相关文档，如各种设计文档等；5、责任心强，工作积极主动，具备强烈的进取心和自我驱动力，提交高质量的研发成果。					任职资格:1、计算机相关专业本科及以上学历；2、2年以上 iOS 开发经验，开发过2款以上成熟产品，有团队合作经验者优先；3、深入理解iOS底层机制，能对应用各方面性能有效提升；4、精通 Objective-C，了解 Swift，熟悉 iOS 上常用的方法和开源库，熟练掌握 UI，多线程，网络，存储等的开发调试工作；5、熟悉常用的软件架构和设计模式，掌握常用的数据结构和算法；6、熟悉 iOS 开发技术和各 iOS 版本特点，能熟练使用 iOS 开发及测试工具；7、有HTML，JS等前端经验优先；8、有网易严选、拼多多、美团、淘宝、京东等电商平台开发经验者优先。					,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,android/ios移动开发工程师,移动开发,8000.0,贵州敏新生产力促进中心,贵阳,3.0,大专,"任职要求：2、精通java或Objective-c、swift其中任意一种或多种语言，同时熟悉javascript,html5,css3等更佳。工作职责：1、能够熟练搭建android或ios应用构架，提交android或ios系统技术方案；2、独立负责完成android或ios移动互联网客户端软件的开发维护；3、配合项目经理进行项目分析，技术研讨，实行技术方案的整合；4、完成领导分配的其他相关工作任务。工作时间：9：00-17:30 周末双休、节假日职能类别：										软件工程师									",1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
14,移动开发工程师,移动开发,27500.0,上海云盾信息技术有限公司,上海,3.0,本科,岗位职责：1、负责抗DDOS、WAF等安全产品的移动端Android & IOS开发2、协助客户集成SDK任职要求：1、本科或以上学历，有丰富的移动端（APP或SDK）开发经验2、精通C和Java、Objective-C两者之一，熟悉Xcode、Android Studio/Eclipse，有丰富的native层开发和问题排查经验3、熟悉网络编程和多线程开发，对Socket通信、TCP/IP和HTTP有较深刻的理解4、具有良好的自我驱动力、自学能力、沟通能力和团队合作精神加分项：1、同时掌握iOS和Android游戏客户端开发2、开发或对接过第三方SDK3、有一定的前端或后端开发经验4、有棋牌游戏客户端开发经验,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15,Xamarin移动开发工程师,移动开发,3750.0,南京汉谷信息科技有限公司,南京,0.0,大专,岗位职责1、负责移动客户端软件开发和维护；2、参与软件需求分析，进行代码编写，单元测试等工作，对软件开发和质量负责；3、负责手机软件开发，保证手机软件功能稳定；4、为产品后期运营提供优化升级、软件维护等技术支持；5、配合书写开发工作的相应文档；任职资格1、计算机相关专业；2、熟悉HTML5/CSS3标准，Javascript前端开发，熟悉jQuery等常见web开发框架中的一种；3、熟练使用XML、多线程并发处理，熟悉SOA思想；4、精通XHTML/XML/CSS、JavaScript、AJAX等，精通W3C标准，熟悉对象化Javascript编程；5、能够很好地与产品、设计师和后台开发人员沟通协作，具有良好的团队合作、协作精神；,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16,移动开发工程师,移动开发,11500.0,北京启迪广联信息技术有限公司,北京,0.0,无,岗位职责：1、负责公司软件项目的移动端设计和开发工作；2、按照项目的开发任务和进度要求，依照软件开发需求，实现模块功能；3、按时保质编写代码，完成公司指定的软件项目的开发任务；4、负责参与软件项目各阶段技术文档的编写；5、参与公司软件项目的内部测试、部署、实施等工作；6、积极了解公司业务，并参与相应的业务沟通会议。岗位要求：1、正规院校计算机相关专业本科及以上学历，计算机基础理论扎实；2、熟悉Android或iOS原生开发知识，参与过一个平台的原生开发及部署；3、了解ReactNative基本原理，熟练掌握与Native的交互，有实际项目开发经验；4、熟悉HTML5、CSS、JavaScript等前端开发技术，具备Android开发能力；5、了解React、Bootstrap、Jquery、Vue等流行的前端开发工具和框架及原理；6、善于沟通，具备刻苦钻研、积极上进、勤奋敬业的工作态度；7、具备良好的团队合作精神；8.有ReactNative性能优化项目经验的优先考虑。,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,H5移动开发工程师,移动开发,9000.0,广东东方思维科技有限公司,广州,3.0,本科,、根据产品及项目需求，参与新产品的开发及对原项目进行维护2、负责移动产品的页面开发，根据设计图完成页面html5编码3、根据产品需求，分析并给出最优的页面前端解决方案4、独立完成手机前端开发任职要求：1、本科及以上学历，计算机相关专业， 四年以上Web前端工作经验；2、精通CSS、Html5、JavaScript、JQuery、ECharts等前端技术；3、熟悉Angular、Ionic、Mui等常用开发框架，能快速搭建移动App；4、对Android与iOS不同平台的html5页面适配及性能优化有较好的了解；5、能熟练使用cordova及Nativejs调用原生API；5、善于学习，良好的逻辑思维和团队合作能力；6、有gis地图开发经验优先,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
18,高级移动开发工程师,移动开发,15000.0,四川川大智胜系统集成有限公司,成都,5.0,本科,、本科及以上学历，计算机相关专业背景，3年以上移动端开发经验；2、扎实的Java或Objective-C基础，有Kotlin或Swift基础优先；3、熟悉Android或iOS框架及个版本特性，熟练运用封装各种第三方库，并可以一定程度上自行设计组件或改造第三方组件； 3、精通移动端开发系统体系结构以及底层库及常用布局、UI设计，丰富的手机UI设计经验；4、良好的编程习惯，精通数据结构和面向对象程序设计，编写高效，整洁的代码；5、有web后端（Java、Golang、Python）和Web前端（React、Vue）开发经验者优先；6、参与过React Native，Weex，Flutter，webApp、微信小程序/公众号等跨端项目开发；熟练掌握并具有nodejs、typescript等语言开发经验者优先；7、熟练使用Git，Android Studio、xCode、vsCode等工具；8、了解主流的移动端插件化框架；9、具有较好的团队合作精神、主动性与责任心；主动学习新技术，掌握新知识，积极参加学习培训，提升自身业务水平；对生活、工作充满激情。,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,移动开发工程师,移动开发,12500.0,四川高金实业集团有限公司,成都,1.0,本科,岗位职责：1.负责公司手机端销售APP功能的开发及与NC端接口开发；2.NC端扩展应用的开发；3.协助信息部部长开展其他工作。任职要求：熟悉ERP软件运行的流程，有过用友NC6项目经验的优先；工作时间：朝九晚五，周末双休；,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,移动开发工程师(IOS),移动开发,9000.0,陕西巨子生物技术有限公司,西安,0.0,无,						1.根据业务需求，基于IOS平台进行移动端应用程序独立开发设计、实现、测设及功能维护；2.移动平台软件框架的研究，设计和实现、关键技术验证和选型工作；3.开发框架的设计和建立；4.全程参与手机APP产品需求、功能等讨论，并根据需求出设计方案；5.负责IOS平台上的技术攻关，确保开发质量；6.改善软件的易用性，提升用户使用体验，重构和产品技术持续改进；7.配合其他部门，提供产品相关技术支持；8、学习和研究新的移动互联网技术以满足产品的需求;职位要求：1、计算机科学或相关专业本科以上学历；2、熟悉IOS应用开发框架，能独立开发高性能的IOS应用；3、精通Object-C或C/C++语言，具有Iphone、IPAD平台开发经验4、深入理解Objective-C Runtime运行机制和内存管理机制，深入了解各个不同iOS版本的特性与差异；5、精通IOS SDK 中的UI、熟悉多线程，网络编程（TCP/IP、HTTP）、XML/JSON解析等技术；6、对软件产品有强烈的责任心，良好的合作精神和工作态度，具有良好的创新心态者优先；7、有移动电商、社交行业软件经验、大型终端软件架构能力优先；																		,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21,移动开发工程师,移动开发,12000.0,格林豪泰酒店（中国）有限公司,上海,1.0,本科,"招聘流程：在线测试-面试-学历验证-背景调查[岗位职责]：1、负责IOS，Android，Winphone客户端软件开发和维护； 2、参与软件需求分析，进行代码编写，单元测试等工作，对软件开发和质量负责； 3、负责手机软件开发，保证手机软件功能稳定； 4、为产品后期运营提供优化升级、软件维护等技术支持； 5、配合书写开发工作的相应文档；6、上级交办的其他事宜。[任职资格]：1、计算机相关专业全日制本科及以上学历，211重点大学毕业生优先录用；一年以上移动平台开发经验；2、精通Objective C和Cocoa框架，掌握至少一种服务端开发语言(例如C,C++,Java等)； 3、熟练使用XML、多线程并发处理，熟悉SOA思想、熟悉rest、webservice 、hassion协议；4、精通面向对象编程，具备较好的设计模式、软件架构知识； 5、有在app store上发布软件者优先；6、 认可企业的核心价值观；—————————————————————————— 格林豪泰发展至今，离不开 “格林人”的无私奉献和辛勤耕耘，在努力创造更好成绩的同时，格林豪泰也不忘回馈每一位“格林人”的努力与付出。 1、全面的考核晋升机制，让发展近在眼前 格林豪泰力争为每一个岗位设置明确的职业发展通道，让每一位员工都了解自己的发展目标和努力方向；在格林豪泰，我们更为格林人提供横向发展的机会，内部竞聘的方式让格林人更快、更便捷地在新的岗位展现自己的才华。 2、完整的薪酬体系，让每一次进步都获得更多 格林豪泰有着严格的职位薪资等级，格林人经过半年至一年的工作后，通过考核，可调整职级，同时调整相应的薪资等级，让每一个人的成长都能收获更多。 3、丰富的企业活动，让工作和休闲相互结合 每日开放员工活动室，内设瑜伽室、台球桌等，并在周六为格林人提供免费的健康课程；每两周举行一次BBQ，全体格林人可免费尽享烧烤美食；另每季度设置团队活动经费，定期举行团队活动，拉近彼此距离。 丰富多彩的企业活动，只为让格林人在工作之余，尽情享受生活。 4、时刻体现员工关怀，拉近彼此间的距离 在每位格林人为格林豪泰无私奉献之时，公司也时刻关怀着每位格林人，每位员工生日都可获得精美礼品，以及写满团队祝福的贺卡；在公司工作满周年的员工可获得格林豪泰徽章及公司准备的礼品；每周更有丰富多彩的礼品（演唱会门票、礼盒等）通过抽奖的方式送给最幸运的那位格林人；每月评选部门优秀员工，实时表彰在工作中表现突出的格林人。 5、始终关注年轻人的发展，让他们撑起一片天空 格林豪泰的发展离不开一群年轻人的努力，他们大多初出茅庐，没有社会经验，但最终却能成为独当一面的人才。每年格林豪泰都招收大量的应届毕业生，为初入社会的他们进行专项的培养，为他们提供快速、高效的成长通道。 给年轻人更多的信赖和机会，是我们一直所坚持的准则！ 6、免费提供宿舍，让格林人无后顾之忧 格林豪泰为有需求的格林人提供免费的宿舍，并配有卫生间和洗漱区域，方便格林员工的生活，解决他们的后顾之忧。",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
22,移动开发负责人,移动开发,30000.0,杭州同花顺数据开发有限公司,杭州,0.0,本科,"、负责公司金融终端产品移动端的开发工作和架构设计；2、和产品经理、测试等进行沟通，设计并带领团队实现具体功能模块；3、负责移动端团队的管理,，负责项目整体把控和推进；职位要求：1、4年以上android或ios工作经验，从事过大型项目的主导工作，带过开发团队优先；2、对产品开发有强烈的责任心；3、热爱设计编写程序，对IT行业充满激情，有独立的用代码解决问题的能力；4、对金融行业熟悉者优先；",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,移动开发工程师,移动开发,9000.0,广州健新科技股份有限公司,广州,2.0,大专,"职责描述：1、根据需求在移动端进行APP的设计与开发；2、参与移动端的架构设计；参与APP与后台服务器之间的业务交互功能的实现。3、与项目相关人员配合共同完成应用软件的开发设计、测试、上线及日常维护等工作；4、按照项工作目计划在保证质量的前提下、按时完成开发。任职要求：1. 扎实的前端基础,精通html5、css3、JavaScript、Ajax、jQuery等Web开发技术，响应式网页设计切图，能独立处理浏览器兼容性问题；2.了解一种MV*框架, 如 vue、 reactjs、angluarjs；3. 能熟练使用至少一种Javascript框架（如：jQuery,JQM），熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML5特性构建移动端的App； 4. 利用HTML5相关技术开发移动平台； 5. 熟练第三方插件sdk配置及调用文档（安卓与ios）； 6. 有移动平台app开发经验，了解移动互联网产品和行业，有在Android,iOS等平台下HTML5+CSS+JavaScript（或移动JS框架）开发经验者优先考虑； 7. 熟练使用HBuilder、html5+、MUI框架开发移动应用开发者优先考虑。",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
24,移动开发工程师（iOS+Android）,移动开发,13000.0,成都互诚在线科技有限公司,成都,2.0,本科,工作内容：1、负责移动平台客户端程序的开发2、参与应用的开发设计，编写应用代码，负责框架层的修改、优化；3、负责软件的系统联调，综合测试，完成产品最终发布；4、推动及协调产品的开发进度，把控项目质量，验证和修正测试中发现的问题；5、根据运营收集的用户让反馈和分析用户行为及需求，配合运营需求对产品进行持续的优化和改进。任职要求：1、2年以上移动开发经验，能独立完成模块开发和单元测试，有项目上架经验；2、熟悉iOS以及Android应用的开发框架以及相关开发工具，且至少对其中一个平台的技术有较深入的研究；3、逻辑思维能力强，肯钻研，工作态度认真负责，能承受较大的工作压力；4、具有良好的理解力、语言表达能力、解决问题的能力，善于与人沟通、合作，有良好的团队意识及高度责任心；5、有区块链相关知识的优先考虑,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Android移动开发工程师,移动开发,10500.0,大连铭信科技发展有限公司,大连,3.0,大专,"岗位职责：负责Android应用软件开发;根据产品需求完成架构和模块设计、编码、测试工作;参与功能的架构设计与主导开发，功能模块化;完成产品的日常系统升级工作。任职要求：1.计算机相关专业专科及以上学历;2.精通Java语言,熟悉Android SDK,熟悉常用的数据结构和算法;3.2年以上Android产品开发经验,有上线产品优先考虑;4.精通Android各类UI组件,自定义View,图像动画,网络,文件系统等模块的使用和开发;5.精通多线程开发,有良好的代码习惯,对Android应用架构有深入的理解;6.精通Android的性能优化,UI优化,内存优化等;7.掌握常用设计模式,熟悉主流的开源框架(Rx Java,Retrofit,ButterKnife等);8.思路清晰,思维敏捷,快速的学习能力,较强的分析问题和解决问题的能力;9.工作认真,积极主动,能承担较大的工作压力,具备良好的沟通能力和团队合作精神;10.有Ionic、Dcloud、React Native等跨平台经验者优先考虑；11.有互联网金融、第三方支付、银行行业开发经验者优先考虑。",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,WebApp移动开发工程师,移动开发,8000.0,东华软件股份公司,西安,2.0,本科,"						岗位职责 1、根据公司业务发展需求，负责android、ios移动平台的应用框架设计和开发； 2、根据客户需求，能够独立完成webApp移动应用界面的开发及应用程序设计、开发、发布等流程； 3、编写相关设计文档，如：开发设计文档、测试用例文档等； 4、开发针对android操作系统不同版本和屏幕尺寸的适配问题，及兼容性问题测试； 5、对开发的App进行版本更新及维护功能； 6、良好的沟通、协作能力。  技能要求  1、大学本科毕业，理工科专业，2年以上Web开发经验； 2、有相关WebApp开发经验，了解原生Android或者Ios开发流程； 3、精通Html、Css、JavaScript ； 4、精通PhoneGap或者Cordova前端框架； 5、熟练掌握jQuery,精通angularJs’2 ； 6、熟悉nodeJs,对node一定的了解； 7、熟悉gulp或者webpack等打包工具。  符合以下条件者优选录取 1、深入理解前端MVVM架构模式； 2、使用过ionci2、angular2、TypeScript开发webApp ； 3、有cordova插件开发经验（android、ios移动平台），譬如开发加密、支付、分享等插件； 4、熟悉ios平台的打包、证书制作及上传App Store的流程； 5、熟悉ES6，sass。",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
27,安卓移动开发工程师,移动开发,9000.0,广州南方卫星导航仪器有限公司,广州,0.0,本科,"岗位职责：负责公司移动端应用的开发，维护。 任职要求：1.本科或本科以上学历，毕业于电子/计算机/通讯/自动化等相关专业； 2.具有1年以上的Android开发经验；3.熟悉安卓UI框架，熟悉常用安卓控件，熟练使用Android Studio；4.熟悉socket和http网络接口编程, 熟悉Android APP客户端/服务端通讯机制；5.具有独立Android客户端开发能力，熟练掌握Java、设计模式、数据结构和算法；6.熟悉gis行业者优先考虑；",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,Flutter移动开发工程师,移动开发,5500.0,领积信息技术（广州）有限公司,广州,1.0,大专,岗位描述：1、使用Flutter进行移动应用研发；能够独立完成交代的开发工作；2、热爱前端，精通flutter等前端开发技术，熟悉常用前端框架；3、熟悉常用算法、数据结构和设计模式；熟悉 Android/iOS 编译流程；4、持续对产品开发流程进行改进与优化，提高开发能力和效率，并能通过技术提升用户体验和可用性；5、能够和同事一起研讨技术实现方案，进行应用及系统整合。任职要求：1、大专以上学历计算机、通讯相关专业，有一年以上相关工作经验，优秀应届毕业生亦可考虑；2、熟练掌握 Flutter移动端开发相关的技术；3、熟悉常用单元测试框架，具有敏锐的抽象和封装意识，熟练编写单元测试代码，保证代码质量；4、熟悉常用算法、数据结构和设计模式；5、有良好的产品意识和风险意识，积极乐观，认真负责，善于沟通，乐于协作，有强烈的进取心和创新意识；6、对iOS/Android/React-Native/Weex 等任一移动端开发相关的技术有一定了解优先考虑；7、掌握PHP语言、有实际 Flutter 开发经验优先考虑；工作地点：广州番禺会江巨大创意产业园12栋东塔13楼（地铁2号线会江站c出口直走约20米东塔电梯）员工福利：1、入职购买五险一金；2、上班时间上午9:00-12:30  13:30-18:00  周末双休；3、国家法定节假日休息；4、每个月员工生日会5、有精美下午茶、零食提供6、公司有不定期的活动，聚餐或者拓展活动。,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
