,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Linux,Mysql,Shell,Python,Sql,Oracle,Nginx,Tomcat
10,技术支持/系统运维工程师,运维/技术支持,7500.0,深圳美嘉林软件科技有限公司,深圳,1.0,本科,岗位职责1、电话或者现场方式为客户提供公司软件产品的使用支持工作；2、负责信息系统的问题反馈，跟踪管理，对研发团队修正的问题进行测试确认；3、负责收集用户针对产品反馈的问题/需求，整理反馈到研发部门，并将处理意见及时通知用户；4、使用XSL/Arbortext Styler，根据客户要求修改PDF/HTML等出版物样式。任职资格1、计算机相关专业本科或以上学历；2、一年以上应用软件开发、测试、售前或售后服务经验；3、较强的软件理解能力、问题沟通能力、快速学习能力，可以适应快节奏的工作；4、性格开朗，乐观，喜欢与人沟通，乐于助人，诚信，热忱，能和客户保持良好的客户关系；5、有大型管理信息系统实施或运维经验者优先；6、有用户手册、维修手册等技术文档编写、排版经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,运维工程师（技术支持、计算机）,运维/技术支持,3750.0,北京盈诚科技有限公司,郑州,1.0,大专,、掌握服务器安装与设置，处理计算机常见故障；2、负责所承担项目的驻点运维工作，包括系统的日常维护、系统问题、系统配置的调整等，保证系统的正常运行和使用；3、负责对客户所提出的各项需求和要求及时作出回应，能够解决的进行解决，不能解决的及时反馈给上级请求协调和支援，并跟进处理进度；4、负责对客户进行日常沟通和汇报，听取客户的意见并向上级汇报，维护客户满意度；5、完成上级分配的其他任务.工作地点：郑州任职资格：1、大专以上学历，有两年以上工作经验者优先；2、计算机科学与技术、计算机网络、软件工程、电子技术等计算机相关专业优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,技术支持（运维服务）,运维/技术支持,5250.0,杭州瑞成信息技术有限公司,杭州,1.0,大专,岗位职责：1、主要负责政府部门浙江政务服务网上城软件平台工作；2、负责该平台的后台维护工作；3、根据客户要求及标准操作手册，调整后台帐号；4、负责工作督办、进度汇报；5、完成客户领导交办的其它事项。任职要求：1、1年以上工作经验，有软件系统运维经验、计算机相关专业；2、责任心强，态度积极向上，工作细心，有良好的沟通能力和抗压能力；3、有计算机相关证书及一定的文字编辑功底者优先考虑。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,IT运维/技术支持,运维/技术支持,5250.0,北京中软国际信息技术有限公司,西安,0.0,无,技术支持工程师岗位职责：1、负责系统管理、维护和运行监控；2、执行补丁修复的部署，docbase布置等；3、熟悉TCP/IP、HTTP等协议，为终端客户提供日常的技术支持服务；4、与不同的团队合作解决各类技术问题，包括开发，应用支持，DBA，Wintel和Mid-tier等；岗位要求1、本科及以上学历；英语四级及以上，有良好的英文读写能力，能看懂国外客户的工作邮件并回复；2、拥有一定java基础，有Unix/ Linux 环境下数据库、Docbase和数据库服务器的相关经验优先；3、能适应倒班制度；,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,网页制作与技术支持/网站运维工程师,运维/技术支持,6000.0,南京大汉网络有限公司,南京,0.0,无,岗位职责：1、负责客户的网站系统维护工作，远程或现场解决客户系统使用中的问题，记录客户服务档案。2、服务器、中间件等日常巡检工作。2、协调公司内部资源为客户提供技术支持。3、协助部门经理处理部门内部事宜 任职要求：1、1年以上（含）网站维护、软件系统运维、客户关系管理经验。（优秀应届毕业生亦可）2、熟练掌握HTML、css代码，熟练使用DREAMWEAVER，掌握PHOTOSHOP/FLASH。3、掌握主流数据库的日常操作（MSSQL、LINUX、ORACLE、MYSQL）。4、掌握各类应用服务器的优化调试等操作（apache、tomcat、weblogic、websphere）5、掌握linux等操作系统的简单命令。6、能够承受售后服务工作中的压力和挑战。7、有进取心，团队配合意识强并具有一定的沟通协调能力。,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
15,运维工程师（平台技术支持）,运维/技术支持,7000.0,重庆锐明信息技术有限公司,重庆,3.0,大专,工作职责：1、 负责操作系统、网络、数据库和业务软件的搭建、部署、监控、升级等日常维护和管理工作；2、 负责现场突发或遗留问题的跟踪解决，包括现场解决和后方支持处理；3、 负责反馈故障问题和产品需求，协助改进和优化产品；4、 负责业务软件系统巡检、分析报告、问题解决；5、 负责对用户和维护人员的技术指导和培训授课。任职资格：1、 大专及以上学历，计算机及相关专业优先；2、 熟练操作系统的安装、配置及常用命令；3、 熟悉网络的基础概念以及基本网络设备的使用，具有一定的网络安全知识；4、 具有良好的沟通能力及团队合作精神；5、 有较好的服务意识，工作细心；6、 较好的抗压能力和应变能力；7、 能够出差现场部署及问题处理。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,高级运维技术支持工程师,运维/技术支持,20000.0,上海态特网络科技有限公司,上海,0.0,无,"任职要求:1、熟悉TCP/IP,http,dns协议的工作原理；2、熟悉Linux操作系统的自动化部署、维护、故障排查；3、熟悉Linux系统下各种服务的配置及工作原理，例如MySQL、Nginx/Tengine、Tomcat、redis、Memcached、LVS、keepalived等；4、熟悉Tomcat等Java应用服务器的配置，有系统调优经验者优先；；5、熟悉k8sdocker容器技术；6、熟悉Zabbix监控,并且可根据需求自定义监控项，优化误报率（优先考虑）；7、熟悉elk,jenkins具有持续ci/cd经验优先；8、熟悉Salt-Stack、Ansible批量化服务器管理工具,具有批量服务器管理能力；9、熟练掌握Shell、python、golang至少一种；岗位职责:1、业务运维方向,负责应用系统维护实施及可用性保障2、持续提升业务稳定性,快速解决线上各类故障,持续完善运维标准和流程,为应用架构提供合理的建议及解决方案",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
17,技术支持工程师/IT运维,运维/技术支持,5250.0,江苏座上客食品工业有限公司,南京,0.0,无,岗位职责：1、零售门店软硬件及网络等故障远程处理2、后台日结处理3、协助门店处理盘点异常数据1、大专以上学历，计算机相关专业2、熟练掌握MSSQLSERVER、oracle等数据库以及sql查询语言;熟悉门店PC秤、打印机等硬件设备； 3、熟悉交换机/路由器等基本网络设备，如：WatchGuard、H3C等良好的沟通能力，团队合作精神，较强的学习能力及服务意识，具有一定的抗压能力。职能类别：										技术支持/维护工程师									关键字：信息技术,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,运维经理/IT技术支持经理,运维/技术支持,7000.0,客如云科技（北京）股份有限公司,广州,3.0,大专,职位描述1.总体负责所属分站合作商户的上门安装软.硬件工作，以及使用商户的正常维护工作，保证客户对客如云系统的正常使用2.负责跟总部（北京.成都双总部）运营部.产品部.技术部的日常沟通对接，及时反馈客户需求并协助总部跟踪解决3.协助城市经理规划分站的所有客户的安装维护优先级，为业务部门正常开展业务保驾护航4.负责公司总部下达的其他运营工作，对规定的重要运营指标建立工作计划并执行5.负责部分线下运营工作，包括但不局限于策划商户合作方案.活动方案.营销方案等6.关注餐饮行业动态，对包括竞争对手在内的行业信息进行分析总结反馈7.定期对运营部所辖员工进行专业素养培训，对销售部员工定期进行产品更新知识培训任职要求：1.抗压能力强，吃苦耐劳，有强烈的求知欲，工作态度严谨，能适应创业型互联网公司的快速发展节奏；2.组织.规划.协调.调配等综合能力强；3.3年以上相关工作经验，有团队管理能力者优先；4.对运营工作（线上/线下）有深刻认知，熟悉O2O.互联网.餐饮行业市场动态者优先；5.管理或者计算机及相关专业，专科及以上学历福利待遇：亲们``````在客如云这个大家庭1.收入：收入是上可观的 高额底薪+绩效奖金，2.福利：五险一金（公积金）是不用愁的 公司提供完善的社会保障；工作之用，员工会人手分配一个ipad，高端大气上档次；3.期权：期权是够得着的，优秀老员工可以享受公司期权；4.培训：培训是免费的，公司内部有国家一级培训师长期专业授课，优秀员工会派往公司总部或外部培训；5.晋升：晋升是不靠关系的，纯净的上下级关系，越努力越幸运；6.团建：团建是常有的，每人每月享有基本的团队建设活动经费，供大家聚会或郊游；7.氛围：氛围是融洽的，都是年轻人，大型移动互联网O2O企业帅哥靓妹保证饱你眼福；8.前景：自豪感是油然而生的 本公司是由互联网巨头投资占股的大型移动互联网企业，前景无限；9.休息：双休，所有法定节假日积极响应党的号召，每日下午茶，工作温馨又惬意亲们，心动不如行动，求发展，求改变就马上投递吧n(*≧▽≦*)n我在客如云等着你呢！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IT 技术支持工程师/运维工程师/网络管理员,运维/技术支持,6750.0,上海逾仕计算机技术有限公司,上海,2.0,大专,负责用户桌面端的故障排查 2.负责相关IT办公设备的技术支持（包括投影、打印机等） 3.负责用户终端设备的报修和协调 4.在系统中记录服务事件 5.用户IT资产管理 岗位要求：1.有0.5~2年技术工作经验，大专以上学历； 2.熟悉AD域控环境；3.能独立地完成操作系统及软、硬件的诊断，排错和维修； 4.有项目所需的计算机软、硬件知识，有良好的沟通技巧；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
