,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Web,Css,Html,Javascript,Js,Jquery
10,Web前端开发工程师,前端开发,7000.0,昆明麦普测绘科技有限公司,昆明,1.0,大专,岗位职责：1.配合后端开发人员完成系统前端页面的开发；2.负责HTML5界面整体视觉效果设计、编辑、美化；3.对页面进行持续的优化，不断提升访问者的用户体验；4.解决vue项目的整体性能，如部署后的用户访问速度等。任职要求：1.大专及以上学历，计算机相关专业；2.1-3年Web前端开发经验；3.熟练运用HTML5、CSS3、JavaScript、vue.js等构建高性能的web应用程序，具有一定的美术设计功底，能够使用Photoshop处理图片；4.熟悉vue.js前端框架，熟练解决多种浏览器兼容问题以及vue项目性能问题；                          5. 良好的创意思维和理解能力，善于协作与沟通，具备良好的团队合作精神。    ,1.0,1.0,1.0,1.0,1.0,0.0
11,CocosCreator前端开发,前端开发,18500.0,成都品宏源创科技有限公司,深圳,0.0,无,要求：1.从事相关引擎工作三年以上，有完整的休闲创意小游戏上线项目经验2.熟练掌握c++及js/ts脚本语言3.熟练掌握cocosAPI4.能独立完成内存优化、包体优化、屏幕适配相关工作；5.能够独立打包以及接sdk者优先考虑,0.0,0.0,0.0,0.0,1.0,0.0
12,前端开发工程师（厦门）,前端开发,9000.0,深圳船奇科技有限公司,厦门,1.0,大专,岗位要求：2、熟悉W3C标准，精通DIV+CSS布局，熟练使用photoshop，能够手写html代码3、熟练使用主流JavaScript的框架（JQuery等）；4、掌握面向对象编程思想，能够高效的手写和修改js代码；5、有移动前端开发经验者优先；6、大专以上学历，1年以上前端开发经验工作时间：9:00-12:00 13:30-18:00 周末双休公司福利：1、入职即买五险一金2、定时下午茶、加班补贴、出差补贴3、法定节假日福利4、带薪年假，全勤奖5、年终奖金，员工旅游职能类别：										软件工程师																			互联网软件开发工程师									关键字：H5前端开发软件工程师web前端,1.0,1.0,1.0,1.0,1.0,1.0
13,WEB前端开发,前端开发,3750.0,山东壹家信息科技有限公司,淄博,0.0,无,任职要求：1精通css，html，能根据设计图设计出静态的网页。工具不限。2了解js，jquery的使用，尤其是其中的选择器部分。3能根据要求用ps做出设计图者优先录用4能做出适应各种设备的页面（响应式页面）者优先录用。5个人要求不急不躁，能与他人在工作方面能良好的沟通。工作时间：7小时,0.0,1.0,1.0,0.0,1.0,1.0
14,前端开发,前端开发,12500.0,上海浩方信息技术有限公司,北京,3.0,本科,、三年以上web前端开发经验；2、熟悉W3C规范，能熟练编写具有良好风格规范的HTML+CSS代码；3、精通JavaScript语法及特性，掌握JavaScript面向对象编程思想，理解Ajax工作原理；4、熟练使用jQuery、extjs、AngularJS、Vue.js、React、Bootstrap等前端框架中的一种或多种；5、能够使用原生JS编写JS组件、业务类库；6、熟练掌握HTML/CSS/XML及HTML5/CSS3；7、熟练使用web前端开发调试工具。,1.0,1.0,1.0,1.0,1.0,1.0
15,Web前端开发工程师,前端开发,4500.0,宁波万千星网络技术有限公司,宁波,0.0,无,岗位职责：1、熟悉使用常用的前端开发库，例如jQuery/Bootstrap等2、熟练使用Photoshop、Dreamweaver等常用工具软件进行设计稿切片、html代码编写3、与设计师和后台程序人员配合，高效率高质量地完成页面的实现工作岗位要求：1、专业不限，学历不限2、精通DIV+CSS页面制作，有大型网站建设经验；精通HTML，熟悉各种浏览器兼容处理3、精通JavaScript、Ajax等Web开发技术，实现网站页面特效、JS效果4、熟悉HTML5、CSS3的优先5、有移动设备研发经历的优先6、熟练使用Bootstrap框架者优先7、有php或者java语言应用能力者优先 8、接受应届毕业生薪资待遇：1、薪资3K-6K2、缴纳五险+节假日福利+定期户外活动3、每日工作8小时，双休,1.0,1.0,1.0,1.0,1.0,1.0
16,前端开发工程师,前端开发,12500.0,上海百事通信息技术股份有限公司,广州,2.0,本科,						岗位内容：任职资格：1、本科及以上，计算机相关专业毕业；2、2年以上前端开发经验，参与2个以上的项目建设开发工作；3、2年以上互联网前端开发经验，熟悉HTML5特性和HTML5最新规范，能够熟练运用HTML5特性构建移动端的WebApp，基于HTML5.0标准进行页面制作； 4、具备扎实的 JavaScrpt、HTML、CSS 知识，确保页面代码对各种移动设备浏览器的良好兼容性； 5、熟悉前端工程化与模块化开发，并有实践经验（如webpack、Vue-cli/Dva等）；6、熟悉 React 和 Vue前端 MV* 框架，并有项目经验；7、熟悉小程序开发，并有项目经验。职能类别：										Web前端开发									,1.0,1.0,1.0,0.0,0.0,0.0
17,Web前端开发工程师,前端开发,6000.0,四川斯宇信息技术有限公司,成都,1.0,大专,"、负责前端构建工具优化、工作流工具开发,及其他前沿技术研发方向调研；3、对UI提供的页面设计稿进行还原，与后台工程师协作，进行接口的调试；4、研发经理交办的其他工作。任职资格：1、具有2年或以上前端开发经验和实际的项目经验；2、精通JavaScript，精通 HTML5/CSS3，熟练使用React.js、Vue.js、Angular.js等至少一种框架，熟悉nodejs和npm；3、熟悉Git、SVN版本管理软件；4、有React Native移动app开发经验者优先；5、深刻理解Web标准，对界面重构有丰富经验，有成功案例；6、沟通能力强，具有良好的团队合作意识；职能类别：										Web前端开发									关键字：web工程师",1.0,1.0,1.0,1.0,1.0,0.0
18,前端开发工程师,前端开发,12500.0,深圳市安智信息技术有限公司,深圳,3.0,大专,"、本科及以上学历，3年以上前端重构与脚本开发经验;2、熟悉主流前端类库或框架,对React/Vue/Angular等有定的实践经验，了解MVC/MWM等设计模式，对单页应用的开发优化有一定的实践经验。3、熟悉Hybrid混合式开发架构，对cordova/react-native/小程序等框架原理定深度理解4、熟悉webpack/grunt/gulp等前端构建工具，并能实现工具的订制开发5、熟悉NodeJS，以及其他后端语言例如phpjava,net等,有一定的运维经验能力6、了解前端性能,掌握优化技巧,对页面性能和浏览器兼容有实践经验。          1、负责移动web端组件的封装开发和新一代框架建设;2、持续的优化前端Web页面的用户体验和性能:3、协助前端工作流程规范的制定和实施;4、研究新技术并帮助业务增长",1.0,0.0,0.0,0.0,0.0,0.0
19,信息部前端开发工程师,前端开发,9000.0,山东凤祥股份有限公司,聊城,2.0,大专,、利用HTML/CSS/JavaScript等Web技术进行产品的开发；2、 能够理解后端架构，与后端工程师配合，为项目提供最优化的技术解决方案；3、 能够理解基础需求和UI设计并进行分析，设计出符合用户使用习惯的前端操作界面，优化前端用户操作体验；4、负责前端核心功能和框架的研发，对前端性能、架构等方面进行改进与优化。任职要求：1、精通掌握html5、css3、javascript、VUE.js2、nodejs前端开发知识，并有相关的项目开发经验或成果3、熟悉前端工程化，用过git，gulp或webpack等工具，***有自己的github仓库4、精通掌握一种前端框架，比如vue/ReactJS/AngularJS，并有深刻理解,1.0,1.0,1.0,1.0,1.0,0.0
