,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Java,Mysql,Web,Linux,Redis,Spring,Sql,Javascript,Python,Php
10,PHP后端开发,后端开发,7000.0,苏州财铺地产,昆山,2.0,中技,"熟悉Linux,精通PHP开发，有较强的架构能力和良好代码规范，精通thinkphp5等常用框架，熟悉MySQL数据库设计使用及优化，了解主流接口api设计开发与优化，熟悉常用Web服务器（Apache/Lighttpd/Nginx）的配置，熟悉memcache,redis,mongo等nosql存储解决方案，熟悉微信公众号及小程序开发，熟悉 JS，CSS，HTML，Ajax 等前端技术，规范团队代码格式、代码安全、代码结构的规定，编写易读、易维护、高质量、高效率的代码，撰写开发文档、数据库设计文档、数据接口文档，在编码期间能撰写清晰明了的注释。",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
11,PHP后端开发工程师,后端开发,8000.0,苏州众人创信息科技有限公司,昆山,2.0,大专,"岗位职责1、负责公司现有PHP网站优化和新产品开发；2、按照项目计划，与项目组其他成员协同工作实现开发目的；3、协助工程师测试和发布系统，准备相关的技术文档，协助解决各种技术问题；4、负责文档撰写，在前期期间设计交付URL接口文档、模板数据描述文档，在编码期间能撰写清晰明了的注释。任职资格1、具备1-2年以上PHP开发/技术支持经验，熟悉PHP面向对象的设计方法，熟练使用PHP常用MVC框架2、具有良好的代码编写能力和良好的代码编程习惯，具备快速解决问题的能力4、精通PHP+MYSQL编程，熟练使用Javascrīpt/Ajax以及CSS编写；5、熟悉主流开发框架及设计模式6、熟悉各种WEB缓存技术，熟悉大型网站架构及性能优化7、熟悉Mysql数据库应用开发，了解Mysql的数据库配置管理、性能优化，熟悉mangodb，postgresql的优先8、至少一种PHPFramework(Zend，Framework,smarty，Yii，etc、、)有一定的了解；具备良好的代码编程习惯及文档编写能力；9、至少具备一种SQL数据库(MySQL，Oracleetc、、)使用经验，了解事务，触发器，存储过程等。熟悉各种缓存及nosql技术。",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,web前端开发/后端开发（人才储备）,后端开发,3750.0,安徽鹏玖科技有限公司,合肥,0.0,大专,岗位职责：1、负责前端开发工作，协调UI和开发人员的工作；2、参与代码维护与备份；3、参与软件系统实施的技术支持；岗位要求：1、大专以上学历，计算机相关专业可以优先，其他理工专业可以从储备岗位做起；2、有解决问题，钻研新技术的兴趣和能力，善于交流和表达，有良好的团队合作精神；3、对展现效果精益求精。福利：你的回报远不止眼前的工资，还有…..五险年底双薪必须有说走就走的旅行节日福利拿到手软微信红包抢不停暖心问候时时有 节日活动嗨翻天,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Golang后端开发,后端开发,12500.0,广州中望龙腾软件股份有限公司,广州,2.0,本科,岗位描述：1、参与系统底层业务架构的设计与开发；2、负责系统迭代与优化并保证系统的性能和稳定。岗位要求：1、本科及以上学历，计算机相关专业，1-3年Go服务端开发经验；2、熟悉Go语言特性，会熟练使用Beego/Gin/Iris等Web框架其一；3、具有RESTful/RPC等设计经验，了解常用消息队列RabbitMQ/ActiveMQ/Kafka等；4、熟练MySQL/MongoDB等数据库设计及调优，熟悉Redis缓存设计；5、拥有良好的代码书写和编程习惯，熟练使用代码管理与版本控制工具；6、熟练使用Ubuntu/CentOS等系统，能部署开发/测试/生产环境；7、熟悉WebSocket协议和框架；,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,Node.js后端开发工程师,后端开发,10000.0,广州金十信息科技有限公司,广州,2.0,本科,岗位职责：1、熟练掌握并能快速搭建和部署Node.js后端的开发和运行环境；  2、深刻理解需求，并进行分析合理拆解，确定数据存储方案和开发实施方案；  3、合理安排工作顺序、时间，完成后端代码开发；  4、配合前端进行页面及接口调试，配合完成整体功能展现；  5、及时了解最新的Node.js支持包，熟悉适用的支持包并应用到日常开发中提升效率；  6、不断研究Node.js相关技术及其升级内容，能够指导和安排后端程序员的工作。任职要求：1、计算机或相关专业且有1年以上Node.js开发经验；  2、熟练运用Javascript、Node.js开发，深刻理解异步处理优缺点及开发技巧；  3、精通MySQL等数据库，对分布式缓存系统Redis有丰富的实践经验；  4、了解Linux操作系统、掌握Linux基本操作命令；  5、具备良好的分析、解决问题能力，及良好的沟通协作意识；  6、具有高执行力和团队合作意识。7、有Docker使用经验，Shell 开发经验或OAuth2开发经验者优先考虑。 8、有参与开源项目者或有独立完成的个人项目者优先考虑。,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
15,Python后端开发工程师,后端开发,15000.0,北京国双科技有限公司,深圳,2.0,本科,岗位职责：1、参与公司运维基础设施平台核心产品的研发；2、参与OpenStack、主流云平台等底层技术调研工作；3、撰写简洁易懂的概要技术设计文档。任职要求：1、大学本科及以上学历，计算机或相关理工科专业背景优先；2、1年以上Python或 .NET、Java、GO等其中一门服务端的研发经验，不拘泥于技术栈；3、具有配置管理系统、监控告警系统、自动化运维平台、任务调度系统等开发经验者优先；4、熟悉KVM、Docker、Kubernetes、Ansible、Saltstack、PostgreSQL、ElasticSearch等若干技术者优先；5、对高效运维实践和运维开发工作有深刻理解；6、热爱编程，逻辑思维较强，能编写高质量代码，喜欢探寻技术原理和问题本质；7、工具控，喜欢折腾各种工具提升日常生活和工作效率；8、责任心较强，具有良好的自我驱动力和团队协作意识。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,舜飞-后端开发,后端开发,20000.0,广州传宇信息科技有限公司,广州,3.0,本科,【工作职责】1、完成大数据平台相关模块的设计、开发、维护，包括业务需求的沟通，功能模块详细设计等；2、参与或主导大数据相关项目建设，参与架构讨论并推进技术演进和优化；3、参与产品构思和架构设计，撰写设计及开发文档。【任职资格】1、全日制本科及以上学历，计算机、软件相关专业优先；2、3年以上Java开发经验，熟悉Scala，具备丰富的项目研发经验（大数据方向优先）、后端服务系统设计和实现经验，具备独立的系统级设计能力； 3、熟悉 Storm、kafka、Zookeeper 等实时处理框架，有 Spark，Hadoop，Hive 经验更佳；4、数据Linux环境和常用操作，具备线上问题排查能力；5、具备扎实的数据结构及算法功底，具备大型系统架构经验；6、具备强烈的进取心、求知欲及团队合作精神；工作地点：深圳：科兴科学园广州：天河区棠东东路3-5号远洋创意园,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Java后端开发工程师,后端开发,12500.0,无锡富瑞德测控仪器股份有限公司,无锡,3.0,本科,"职位要求:1. 大学本科以上学历,扎实的java基础、3年以上的Java开发经验2. 熟练掌握socket通信3. 熟练掌握Spring、Spring MVC、MyBatis、springboot等常用框架4. 熟练使用MySQL、Redis、常用消息队列如activeMQ等5. 掌握CentOS安装以及常用操作命令，熟悉LINUX环境下TOMCAT、mysql等常用组件部署6. 良好的逻辑思维能力和团队合作精神，善于学习和与人沟通，为人正直、诚信，有较强的事业心，具有分析、解决应用问题的能力",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
18,互联网后端开发工程师WEB .NET,后端开发,18000.0,北京数码大方科技股份有限公司,北京,3.0,本科,"岗位职责：1负责网站和交易系统前后台web相关开发工作；2参与业务流程分析和系统逻辑、架构、数据库等设计工作，负责移动APP接口编写。岗位要求：1重点全日制统招本科及以上学历，计算机或信息管理专业，2年以上开发经验，熟悉互联网产品和服务的开发过程；2熟练使用.net,sqlserver,html,CSS,JavaScript，熟练掌握MySql数据库，有NoSQL数据库应用经验；3熟悉C#语言和.NET平台下的程序开发，深刻了解面向对象的软件分析、设计方法和设计模式；4有Webservice开发经验，熟练掌握memcached和redis缓存应用；5对移动互联网开发、新技术、开源软件等有特别兴趣。",0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,后端开发工程师+可实习,后端开发,5250.0,郑州瑞庭网络科技有限公司,郑州,0.0,大专,岗位职责：1、负责协助研发产品的基础构架设计、开发和升级维护；2、根据产品需求协助完成模块设计、编码、测试工作；3、能按照项目计划，按时提交高质量的代码，完成开发任务；4、分析并解决软件开发过程中的问题。任职资格：1、软件基础理论知识扎实，具有良好的数据结构、算法功底；2、学习能力强，可塑性强，热爱技术；3、具备良好的团队意识及创新思维、自我激励能力，善于与人合作；4、具有良好的表达与沟通能力以及独立思考并解决问题的能力。薪资待遇：1、薪资：正式转正上岗后：4000-8000以上（岗位薪资+项目奖金+补助+提成）2、五险一金齐全，依法享有国家规定的带薪年假和法定的节假日福利；3、上班时间：朝九晚六，周末双休；4、提供住宿，集团宿舍皆配备有空调、风扇、洗澡间、自動饮水机、电视房等设备供员工使用。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
